completion_reward,delay_penalty,overload_penalty,deadline_penalty,episode,seed,tasks_completed
320.8278819961246,-2.700000000000001,-1.5975271915978793,-20.0,0,42,17
476.2364354653527,-2.1000000000000005,-1.3312176655051395,-20.0,1,43,18
456.72168168007363,-2.400000000000001,-1.3739387691339822,0.0,2,44,18
351.33290787648343,-3.3000000000000016,-1.7451564346391217,0.0,3,45,19
390.37115982626295,-2.500000000000001,-1.2588877434122998,0.0,4,46,19
390.59781920102694,-2.9000000000000012,-1.6815680121752248,0.0,5,47,19
199.07201302297486,-4.4,-2.4896213158412706,-60.0,6,48,17
539.6302420338941,-2.3000000000000007,-1.3159591794226548,0.0,7,49,18
676.5616419590664,-2.3000000000000007,-1.2319183588453089,0.0,8,50,18
454.0938633317707,-2.400000000000001,-1.2757413014364514,0.0,9,51,18
593.3023420698947,-2.1000000000000005,-1.1959591794226547,0.0,10,52,19
445.2250480950194,-2.500000000000001,-1.2458571279792907,0.0,11,53,19
489.7268998569949,-2.400000000000001,-1.5620961787760907,0.0,12,54,19
297.4165834695678,-2.0000000000000004,-1.8174840431569392,0.0,13,55,19
534.524688482945,-2.2000000000000006,-1.2148469228349539,0.0,14,56,18
431.55646664229187,-2.600000000000001,-1.5029285639896455,0.0,15,57,19
409.6665933386911,-3.1000000000000014,-1.4887719168694606,0.0,16,58,19
591.103893157017,-3.800000000000002,-1.3249489742783185,-60.0,17,59,16
265.4617895332831,-2.600000000000001,-1.6584387384712982,0.0,18,60,18
318.80404121187865,-2.700000000000001,-1.5973093136116754,0.0,19,61,19
355.0172566600065,-2.700000000000001,-1.6451730767801638,0.0,20,62,19
539.7373665316319,-2.700000000000001,-1.2143807496220302,0.0,21,63,19
336.1661429012081,-2.1000000000000005,-1.4185077563121942,0.0,22,64,19
411.6547910383404,-3.4000000000000017,-1.7658571279792912,-40.0,23,65,16
178.95224437416505,-3.800000000000002,-2.4468807303654843,-60.0,24,66,18
370.44195357602615,-2.2000000000000006,-1.435959179422655,-20.0,25,67,19
293.6109341142352,-2.1000000000000005,-1.4595476018865514,0.0,26,68,19
330.0422730535115,-2.2000000000000006,-1.5564873460235216,0.0,27,69,18
232.00850234349753,-2.700000000000001,-1.7877216536697031,-20.0,28,70,17
589.7560723264951,-2.0000000000000004,-1.1559591794226547,-20.0,29,71,19
371.92500843625356,-2.3000000000000007,-1.5119183588453091,-20.0,30,72,18
315.1717109449834,-2.800000000000001,-2.0853909547663676,-60.0,31,73,17
387.3263645349766,-2.1000000000000005,-1.391918358845309,-20.0,32,74,17
277.0218764086962,-2.1000000000000005,-1.6966356800379492,0.0,33,75,18
457.7860927530744,-2.400000000000001,-1.1869693845669915,0.0,34,76,19
341.6215471697396,-2.1000000000000005,-1.537077660525997,0.0,35,77,17
420.0647854178095,-2.400000000000001,-1.6619048508343912,0.0,36,78,19
302.0277860354593,-3.1000000000000014,-2.017163846638816,-20.0,37,79,18
536.9472297605264,-2.0000000000000004,-1.3489793772302634,0.0,38,80,17
554.5516749227056,-2.0000000000000004,-1.213938769133982,0.0,39,81,19
472.535449730303,-1.9000000000000006,-0.9829285639896451,-20.0,40,82,16
293.07972715612317,-2.9000000000000012,-2.3841165890647638,0.0,41,83,19
291.4800568233821,-2.0000000000000004,-1.7810914213369005,0.0,42,84,17
242.763782227981,-2.0000000000000004,-1.657268478745758,0.0,43,85,16
360.5592661304614,-2.800000000000001,-1.7887724430003402,0.0,44,86,19
293.68669678945287,-2.400000000000001,-1.8269693845669916,0.0,45,87,19
408.3791075227156,-2.0000000000000004,-1.080908153700972,-20.0,46,88,17
177.29730964275433,-3.4000000000000017,-2.769033988505754,0.0,47,89,19
462.40410057241274,-2.0000000000000004,-1.258081908243248,0.0,48,90,18
356.26351624149,-2.800000000000001,-1.4505578070308882,-20.0,49,91,17
